id,kayapo,ingles,linha_original
675,Djãm arỳm ne ga tẽ? Did you,go?,Djãm arỳm ne ga tẽ? Did you go?
676,Djãm arỳm ne ga to? Did you,dance?,Djãm arỳm ne ga to? Did you dance?
677,Djãm arỳm ne ga nõ? Did you lie,down?,Djãm arỳm ne ga nõ? Did you lie down?
678,Djãm arỳm ne ga djuw?,Did you take bath?,Djãm arỳm ne ga djuw?	 Did you take bath?
679,Djãm arỳm ne ga ruw?,Did you go down?,Djãm arỳm ne ga ruw?		Did you go down?
680,Djãm arỳm ne ga muw?,Did you cry?,Djãm arỳm ne ga muw?		Did you cry?
681,Djãm arỳm ne ga ngõr?,Did you sleep?,Djãm arỳm ne ga ngõr?	 Did you sleep?
682,Itẽm kêt,I didn't go yet,Itẽm kêt		I didn't go yet
683,Itor kêt,I didn't dance yet,Itor kêt		I didn't dance yet
684,Inõr kêt,I didn't lie down,Inõr kêt		I didn't lie down
685,Idjwỳr kêt,I didn't take bath,Idjwỳr kêt		I didn't take bath
686,Irwỳk kêt,I didn't go down,Irwỳk kêt		I didn't go down
687,Imỳr kêt,I didn't cry,Imỳr kêt		I didn't cry
688,Inhõt kêt,I didn't sleep,Inhõt kêt		I didn't sleep
689,Djãm arỳm ne ga tẽ? Did you,go?,Djãm arỳm ne ga tẽ? Did you go?
690,Djãm arỳm ne ga to? Did you,danced?,Djãm arỳm ne ga to? Did you danced?
691,Djãm arỳm ne ga nõ? Did you lie,down?,Djãm arỳm ne ga nõ? Did you lie down?
692,Djãm arỳm ne ga djuw? Did you take,bath?,Djãm arỳm ne ga djuw? Did you take bath?
693,Djãm arỳm ne ga ruw? Did you go,down?,Djãm arỳm ne ga ruw? Did you go down?
694,Djãm arỳm ne ga muw? Did you,cry?,Djãm arỳm ne ga muw? Did you cry?
695,Djãm arỳm ne ga ngõr? Did you,sleep?,Djãm arỳm ne ga ngõr? Did you sleep?
696,Purmã ne ba tẽ,I went to the farm,Purmã ne ba tẽ	I went to the farm
697,Purmã ne ga tẽ,You went to the farm,Purmã ne ga tẽ	You went to the farm
698,Purmã ne gu tẽ,We (me and we) went to the farm,Purmã ne gu tẽ	We (me and we) went to the farm
699,Purmã ne tẽ,He went to the farm,Purmã ne tẽ	He went to the farm
700,Purmã ne tẽ She went to the,farm,Purmã ne tẽ She went to the farm
701,Purmã ne ba itẽm kêt,I didn't go to the farm,Purmã ne ba itẽm kêt		I didn't go to the farm
702,Purmã ne ga atẽm kêt,You didn't go to the farm,Purmã ne ga atẽm kêt		You didn't go to the farm
703,Purmã ne gu batẽm kêt,We (me and you) didn't go to the farm,Purmã ne gu batẽm kêt		We (me and you) didn't go to the farm
704,Purmã ne ba tẽm,He didn't go to the farm,Purmã ne ba tẽm		He didn't go to the farm
705,Purmã ne ba tẽm,She didn't go to the farm,Purmã ne ba tẽm		She didn't go to the farm
706,Itẽm kêt,I didn't go,Itẽm kêt	 I didn't go
707,Itẽm bit,I just went,Itẽm bit	 I just went
708,Itẽm kumrẽx,I went and I'm not coming back anymore,Itẽm kumrẽx	 I went and I'm not coming back anymore
709,Itor kêt,I didn't dance,Itor kêt	 I didn't dance
710,Itor bit,I just dance,Itor bit	 I just dance
711,Itor kumre:x,I danced for a long time,Itor kumre:x	 I danced for a long time
712,Itor mex,I danced well,Itor mex	 I danced well
713,Inõr kêt,I didn't lie down,Inõr kêt	 I didn't lie down
714,Inõr bit,I just lie down,Inõr bit	 I just lie down
715,Idjwyr kêt,I didn't take bath,Idjwyr kêt	 I didn't take bath
716,Idjwyr mex,I took a very good bath,Idjwyr mex	 I took a very good bath
717,Idjwyr kume:x,I took bath for a long time,Idjwyr kume:x	 I took bath for a long time
718,Irwỳk kêt,I didn't go down,Irwỳk kêt	I didn't go down
719,Irwỳk bit,I just go down,Irwỳk bit	I just go down
720,Imỳr kêt,I didn't cry,Imỳr kêt		I didn't cry
721,Imỳr bit,I just cry,Imỳr bit		I just cry
722,Imỳr kume:x,I cried a lot,Imỳr kume:x		I cried a lot
723,Inhõt kêt,I didn't sleep,Inhõt kêt		I didn't sleep
724,Inhõt bit,I just sleep,Inhõt bit		I just sleep
725,Inhõt mex,I slept well,Inhõt mex		I slept well
726,Itẽm,,Itẽm
727,Itẽm kêtkumrẽx,"Actually, I didn't go","Itẽm kêtkumrẽx	Actually, I didn't go"
728,Djãm itẽm kêtgot!,Didn't I go?,Djãm itẽm kêtgot!	 Didn't I go?
729,Krĩ'ỳr ne ba tẽ I went to the,village,Krĩ'ỳr ne ba tẽ I went to the village
730,Mum krĩ'ỳr ne ba tẽ,"I went to the village, far away","Mum krĩ'ỳr ne ba tẽ	 I went to the village, far away"
731,Onij krĩrax'ỳr ne ba tẽ.,"I went to the village, very far from here","Onij krĩrax'ỳr ne ba tẽ.	 I went to the village, very far from here"
732,Kikre'ỳr ne ba to,I danced in the direction of the house,Kikre'ỳr ne ba to	 I danced in the direction of the house
733,Mum kikre'ỳr ne ba to,"I danced in the direction of the house, far away","Mum kikre'ỳr ne ba to	 I danced in the direction of the house, far away"
734,Onij kikre rax'ỳr ne ba to,"I danced in the direction of the house, very far from here","Onij kikre rax'ỳr ne ba to	I danced in the direction of the house, very far from here"
735,Tebê ne ba djuw,I took a shower quickly,Tebê ne ba djuw		I took a shower quickly
736,Ngo màtkam ne ba djuw,I bathed in the stream.,Ngo màtkam ne ba djuw	 I bathed in the stream.
737,Ba ruw,I went down,Ba ruw	I went down
738,Tebê ne ba ruw,I went down very quickly,Tebê ne ba ruw	I went down very quickly
739,Ngo màtkam ne ba ruw,I went down in the river,Ngo màtkam ne ba ruw		I went down in the river
740,Ibôx kêt.,I didn't arrive,Ibôx kêt.	I didn't arrive
741,Inox kêt.,I didn't sink,Inox kêt.	I didn't sink
742,Itỹm kêt.,I didn't fall,Itỹm kêt.	I didn't fall
743,Ba bôx.,I arrived,Ba bôx.		I arrived
744,Ba nox.,I sank,Ba nox.		I sank
745,Ba tỹm.,I fell,Ba tỹm.		I fell
746,Djãm arỳm ne ga bôx?,Did you arrive?,Djãm arỳm ne ga bôx?	 Did you arrive?
747,Djãm arỳm ne ga nox?,Did you sink?,Djãm arỳm ne ga nox?	 Did you sink?
748,Djãm arỳm ne ga tỹm?,Did you fall?,Djãm arỳm ne ga tỹm?	 Did you fall?
749,"Kati. Ibôx kêt rã'ã No, I didn't arrive",yet,"Kati. Ibôx kêt rã'ã No, I didn't arrive yet"
750,"Kati. Inox kêt rã'ã No, I didn't sink",yet,"Kati. Inox kêt rã'ã No, I didn't sink yet"
751,"Kati. Itỹm kêt rã'ã No, I didn't fall",yet,"Kati. Itỹm kêt rã'ã No, I didn't fall yet"
752,Djãm arỳm ne ga bôx?,Did you arrive?,Djãm arỳm ne ga bôx?	 Did you arrive?
753,Djãm arỳm ne ga nox?,Did you sink?,Djãm arỳm ne ga nox?	 Did you sink?
754,Djãm arỳm ne ga tỹm?,Did you fall?,Djãm arỳm ne ga tỹm?	 Did you fall?
755,"Aã, arỳrm ne ba bôx yes, I already",arrived,"Aã, arỳrm ne ba bôx yes, I already arrived"
756,"Aã, arỳrm ne ba nox yes, I already",sank,"Aã, arỳrm ne ba nox yes, I already sank"
757,"Aã, arỳrm ne ba tým yes, I already",fell,"Aã, arỳrm ne ba tým yes, I already fell"
758,Purmã ne bar mõ We (a small group) went to the,farm,Purmã ne bar mõ We (a small group) went to the farm
759,Purmã ne gar mõ You all (a small group) went to the,farm,Purmã ne gar mõ You all (a small group) went to the farm
760,Purmã ne gwaj mõ,We (me and you) went to the farm,Purmã ne gwaj mõ		We (me and you) went to the farm
761,Purmã ne ar mõ,They (a small group) went to the farm,Purmã ne ar mõ	They (a small group) went to the farm
762,Purmã ne ar imõr kêt,"We (a small group, except you) didn't go to the farm","Purmã ne ar imõr kêt		We (a small group, except you) didn't go to the farm"
763,Purmã ne ar amõr kêt,You all (a small group) didn't go to the farm,Purmã ne ar amõr kêt		You all (a small group) didn't go to the farm
764,Purmã ne gwaj bamõr kêt,"We (a small group, including you and me) didn't go to the farm","Purmã ne gwaj bamõr kêt		We (a small group, including you and me) didn't go to the farm"
765,Purmã ne ar mõr kêt,They (a small group) didn't go to the farm,Purmã ne ar mõr kêt		They (a small group) didn't go to the farm
766,Ngy'ã ne ga tỹm You fell in the,mud,Ngy'ã ne ga tỹm You fell in the mud
767,Ngô myrri ne ga tỹm.,You fell by the riverbank,Ngô myrri ne ga tỹm.		You fell by the riverbank
768,Akamàtkam ne ikra àn,"Yesterday, my baby hurt me","Akamàtkam ne ikra àn		Yesterday, my baby hurt me"
769,"Ne kam akamàt ngrirekam, na krakkam ne ruw","As soon as it got dark, while it was raining heavily, my baby was born","Ne kam akamàt ngrirekam, na krakkam ne ruw	As soon as it got dark, while it was raining heavily, my baby was born"
770,Ikra ni ne ruw,The baby was a girl,Ikra ni ne ruw	The baby was a girl
771,Ikramẽ iprõ ne mexkumrẽx,The baby and my wife are doing well,Ikramẽ iprõ ne mexkumrẽx		The baby and my wife are doing well
772,Me bengôkre djukane'ỳr ne ba tẽ I’ve already gotten tribal medicine for,them,Me bengôkre djukane'ỳr ne ba tẽ I’ve already gotten tribal medicine for them
773,akamàt,at mohjy,akamàt	at mohjy
774,akamàt ngrire,at dusk,akamàt ngrire	 at dusk
775,àn,to feel labor pains,àn	to feel labor pains
776,kra,baby,kra baby
777,kra,son,kra son
778,kra,daughter,kra daughter
779,krar,the sound of something breaking,krar		the sound of something breaking
780,krak,the sound of something breaking,krak		the sound of something breaking
781,na,raining,na	raining
782,ni,female,ni	female
783,ukane,tribal medicine,ukane	 tribal medicine
784,Idjujarẽnh kêt,I didn't tell everything about this,Idjujarẽnh kêt	I didn't tell everything about this
785,Idjàptõr kêt,I didn't spit,Idjàptõr kêt	I didn't spit
786,Idjũmjanh kêt,I didn't chew it,Idjũmjanh kêt	I didn't chew it
787,Ba ajarẽ,I told everything about this,Ba ajarẽ		I told everything about this
788,Ba apto,I spat,Ba apto		I spat
789,Ba ũmja,I chewed it,Ba ũmja		I chewed it
790,Djã ne ga ajarẽ?,Did you tell everything about this?,Djã ne ga ajarẽ?		Did you tell everything about this?
791,Djã ne ga aptô?,Did you spit?,Djã ne ga aptô?		Did you spit?
792,Djã ne ga ũmja?,Did you chew iy?,Djã ne ga ũmja?		Did you chew iy?
793,Ãã. Ba ajarẽ.,"Yes, I told everything about it","Ãã. Ba ajarẽ.	 Yes, I told everything about it"
794,Ãã. Ba aptô.,"Yes, I spat","Ãã. Ba aptô.	 Yes, I spat"
795,Ãã. Ba ũmja.,"Yes, I chewed it","Ãã. Ba ũmja.	 Yes, I chewed it"
796,Purmã ne ba me mõ.,We all went to work in the fields,Purmã ne ba me mõ.	We all went to work in the fields
797,Purmã ne ba me mõ.,We (a big group) went to work in the fields,Purmã ne ba me mõ.	We (a big group) went to work in the fields
798,Purmã ne ga me mõ.,You all went to work in the fields,Purmã ne ga me mõ.	You all went to work in the fields
799,Purmã ne ga me mõ.,You (a big group) went to work in the fields,Purmã ne ga me mõ.	You (a big group) went to work in the fields
800,Purmã ne gu me mõ.,We (me and you) and everyone else went to work in the fields,Purmã ne gu me mõ.	We (me and you) and everyone else went to work in the fields
801,Purmã ne me mõ.,They all went to work in the fields,Purmã ne me mõ.	They all went to work in the fields
802,Purmã ne me mõ.,They (a big group) went to work in the fields,Purmã ne me mõ.	They (a big group) went to work in the fields
803,Purmã ne me imôr kêt.,We all (except you) didn't go to work in the fields,Purmã ne me imôr kêt.	We all (except you) didn't go to work in the fields
804,Purmã ne me imôr kêt.,We (a big group except you) didn't go to work in the fields,Purmã ne me imôr kêt.	We (a big group except you) didn't go to work in the fields
805,Purmã ne me amõr kêt.,You all didn't go to work in the fields,Purmã ne me amõr kêt.	You all didn't go to work in the fields
806,Purmã ne me amõr kêt.,You (a big group) didn't go to work in the fields,Purmã ne me amõr kêt.	You (a big group) didn't go to work in the fields
807,Purmã ne me bamõr kêt.,We (you and me) didn't go to work in the fields,Purmã ne me bamõr kêt.	We (you and me) didn't go to work in the fields
808,Purmã ne me mõr kêt.,They all didn't go to work in the fields,Purmã ne me mõr kêt.	They all didn't go to work in the fields
809,Purmã ne me mõr kêt.,They (a big group) didn't go to work in the fields,Purmã ne me mõr kêt.	They (a big group) didn't go to work in the fields
810,Djãm Kôkôtine àptorgot!,Did Kôkôti spit! (He didn't!),Djãm Kôkôtine àptorgot!	 Did Kôkôti spit! (He didn't!)
811,Iba kêt I'm not going,(repeatedly),Iba kêt I'm not going (repeatedly)
812,Iku'ê*,I'm not getting up (repeatedly),Iku'ê*	I'm not getting up (repeatedly)
813,Ipròt,I'm not running,Ipròt	 I'm not running
814,Ikukwỳr I'm not,crawling,Ikukwỳr I'm not crawling
815,Ikator,I'm not leaving,Ikator	I'm not leaving
816,Ikrĩn,I'm not sitting (repeatedly),Ikrĩn	 I'm not sitting (repeatedly)
817,Inhikwãnh,I'm not laying down (repeatedly),Inhikwãnh	 I'm not laying down (repeatedly)
818,Ba iba,I'm going (repeatedly),Ba iba	I'm going (repeatedly)
819,Ba iku'ê,I'm getting up (repeatedly),Ba iku'ê	I'm getting up (repeatedly)
820,Ba iprõt,I'm running,Ba iprõt	 I'm running
821,Ba ikukwỳr I'm,crawling,Ba ikukwỳr I'm crawling
822,Ba ikato,I'm leaving,Ba ikato	I'm leaving
823,Ba ikrĩn,I'm sitting (repeatedly),Ba ikrĩn	 I'm sitting (repeatedly)
824,Ba inhikwã,I'm laying down (repeatedly),Ba inhikwã	 I'm laying down (repeatedly)
825,Bar purmã te.,We (someone and me) went to the farm,Bar purmã te.	 We (someone and me) went to the farm
826,Gar purmã te.,You (and some others) went to the farm,Gar purmã te.	 You (and some others) went to the farm
827,Gwaj purmã te.,We (me and you) and other(s) went to the farm,Gwaj purmã te.	 We (me and you) and other(s) went to the farm
828,Kryràm ne ba tẽ I went,early,Kryràm ne ba tẽ I went early
829,Ba kam iprõmẽ ar kam idjàpênh,"So, my wife and me work in the fields","Ba kam iprõmẽ ar kam idjàpênh	 So, my wife and me work in the fields"
830,"Kwỳ, ba kam pa jakàn o mrãn akà'ã kurẽ","After burning the field, I cut the branches and threw them along its edges","Kwỳ, ba kam pa jakàn o mrãn akà'ã kurẽ	After burning the field, I cut the branches and threw them along its edges"
831,Prĩne djwỳmã karên kam kam kre,"I completely cleared the field to plant in it, and then I planted it","Prĩne djwỳmã karên kam kam kre	I completely cleared the field to plant in it, and then I planted it"
832,Môpmẽ tyrtimẽ katẽbàrmẽ katẽmẽ. Kadjwatimẽ bàymẽ kadjàtmẽ karinhômẽ katẽtàmkurmẽ kre.,"I planted cara, bananas, papaya, sugar cane, corn, tobacco and watermelon","Môpmẽ tyrtimẽ katẽbàrmẽ katẽmẽ. Kadjwatimẽ bàymẽ kadjàtmẽ karinhômẽ katẽtàmkurmẽ kre.	 I planted cara, bananas, papaya, sugar cane, corn, tobacco and watermelon"
833,Arỳm kam kre pa nhym arỳm ingrõt,I have already finished planting and the seeds germinated,Arỳm kam kre pa nhym arỳm ingrõt		I have already finished planting and the seeds germinated
834,Arỳm ingrõn abatành ne,They germinated and are growing,Arỳm ingrõn abatành ne	They germinated and are growing
835,akà'ã,in the borders of,akà'ã	 in the borders of
836,akàr,to cut off completely,akàr		to cut off completely
837,akà,to cut off completely,akà		to cut off completely
838,àpênh,to work,àpênh	 to work
839,àpê to,work,àpê to work
840,iprõ,my wife,iprõ		my wife
841,rẽnh,to play,rẽnh		to play
842,kurẽ,to play,kurẽ		to play
843,Ije kakôr kêt,I didn't play an instrument,Ije kakôr kêt	 I didn't play an instrument
844,Ije kakrẽnh kêt,I didn't scratch it,Ije kakrẽnh kêt	 I didn't scratch it
845,Ije kapõnh kêt,I didn't sweep,Ije kapõnh kêt	 I didn't sweep
846,Ije kapõnh kêt,I didn't weed it,Ije kapõnh kêt	 I didn't weed it
847,Ije karêr kêt,I didn't scream,Ije karêr kêt	 I didn't scream
848,Ije kudjônh kêt,I didn't peel it,Ije kudjônh kêt	 I didn't peel it
849,Ba kakô,I played an instrument,Ba kakô	 I played an instrument
850,Ba kakrê,I scratched it,Ba kakrê	 I scratched it
851,Ba kapõ,I swept it,Ba kapõ	 I swept it
852,Ba karê,I weeded it,Ba karê	 I weeded it
853,Ba kà,I screamed,Ba kà	 I screamed
854,Ba kudjô,I peeled it,Ba kudjô	 I peeled it
855,Ije kapõnh kêt rã'ã.,I didn't sweep yet,Ije kapõnh kêt rã'ã.		I didn't sweep yet
856,Aje kapõnh kêt rã'ã.,You didn't sweep yet,Aje kapõnh kêt rã'ã.		You didn't sweep yet
857,Gu baje kapõnh kêt rã'ã.,We (you and me) didn't sweep yet,Gu baje kapõnh kêt rã'ã.		We (you and me) didn't sweep yet
858,Kute kapõnh kêt rã'ã.,He didn't sweep yet,Kute kapõnh kêt rã'ã.		He didn't sweep yet
859,Kute kapõnh kêt rã'ã.,She didn't sweep yet,Kute kapõnh kêt rã'ã.		She didn't sweep yet
860,Ije karêr 'ỳr,I'm ready to weed it now,Ije karêr 'ỳr	 I'm ready to weed it now
861,Ije karêr mex,I weeded it well,Ije karêr mex	 I weeded it well
862,Ije karêr mã,I'm going to do some weeding,Ije karêr mã		I'm going to do some weeding
863,Ije pur karêr kêt,I didn't weed with a machete,Ije pur karêr kêt	 I didn't weed with a machete
864,Ije kàxo karêr kêt,I didn’t weed the field with a machete,Ije kàxo karêr kêt	I didn’t weed the field with a machete
865,Ije kikre bu'ã karêr kêt,I didn't weed around the house,Ije kikre bu'ã karêr kêt		I didn't weed around the house
866,Ba kàxo,karê	 I weeded with a machete,Ba kàxo	karê	 I weeded with a machete
867,Ba kàxo pur karê.,I weeded the field with a machete,Ba kàxo pur karê.	 I weeded the field with a machete
868,Ba kikre bu'ã karê,I weeded around the house,Ba kikre bu'ã karê	I weeded around the house
869,Ije kaki kêt.,I didn't try the food,Ije kaki kêt.	 I didn't try the food
870,Ije kre kêt.,I didn't plant it,Ije kre kêt.	 I didn't plant it
871,Ije kanga kêt.,I didn't abandon him,Ije kanga kêt.	 I didn't abandon him
872,Ije kane kêt.,I didn't treat the disease,Ije kane kêt.	 I didn't treat the disease
873,Ije 'ôk kêt.,I didn't paint the body,Ije 'ôk kêt.	 I didn't paint the body
874,Ije kaprêprêk kêt.,I didn't knock,Ije kaprêprêk kêt.	 I didn't knock
875,Ba kaki.,I tried the food,Ba kaki.	 I tried the food
876,Ba kre.,I planted it,Ba kre.	 I planted it
877,Ba kanga.,I abandoned him,Ba kanga.	 I abandoned him
878,Ba kane.,I treated the disease,Ba kane.	 I treated the disease
879,Ba 'ôk.,I painted the body,Ba 'ôk.	 I painted the body
880,Ba kaprêprêk.,I knocked,Ba kaprêprêk.	 I knocked
881,Mỳkam ne ga kaki?,Why did you try the food?,Mỳkam ne ga kaki?	 Why did you try the food?
882,Mỳkam ne ga kre?,Why did you plant it?,Mỳkam ne ga kre?	 Why did you plant it?
883,Mỳkam ne ga kanga?,Why did you abandon him?,Mỳkam ne ga kanga?	 Why did you abandon him?
884,Mỳkam ne ga kanga?,Why did you abandon her?,Mỳkam ne ga kanga?	 Why did you abandon her?
885,Mỳkam ne ga kane?,Why did you try the treated the disease?,Mỳkam ne ga kane?	 Why did you try the treated the disease?
886,Mỳkam ne ga 'ôk?,Why did you painted the body?,Mỳkam ne ga 'ôk?	 Why did you painted the body?
887,Mỳkam ne ga kaprêprêk?,Why did you knock?,Mỳkam ne ga kaprêprêk?	 Why did you knock?
888,Aje kane 'ỳr,You're almost treating the disease,Aje kane 'ỳr		You're almost treating the disease
889,Aje kane mex,You treated well the disease,Aje kane mex		You treated well the disease
890,Aje kane mã,You pretend to treat the disease.,Aje kane mã		You pretend to treat the disease.
891,Aje ikaprêprêk kêt,You didn't hurt me,Aje ikaprêprêk kêt	You didn't hurt me
892,Ije akaprêprêk kêt,I didn't hurt you,Ije akaprêprêk kêt	I didn't hurt you
893,Ba ajôk,I painted you,Ba ajôk		I painted you
894,Ba prĩne ajôk,I painted you carefully,Ba prĩne ajôk	 I painted you carefully
895,Me kunĩ ne me imã pur dji,Everyone help me clean the field,Me kunĩ ne me imã pur dji	 Everyone help me clean the field
896,Amex totokbê ne me my pur'ỳr mrãn par prã,"At the beginning of the drought, the men go to the new fields and brush the bushes","Amex totokbê ne me my pur'ỳr mrãn par prã	 At the beginning of the drought, the men go to the new fields and brush the bushes"
897,"Ne kam kam kukà Then, they cut the",trees,"Ne kam kam kukà Then, they cut the trees"
898,Nhym kam nõn kam ngrà ba me kam kum angij,"They leave them there until they are completely dry, and then they burn them","Nhym kam nõn kam ngrà ba me kam kum angij	 They leave them there until they are completely dry, and then they burn them"
899,Nhym kam kwỳn.,The fields are burned.,Nhym kam kwỳn.	The fields are burned.
900,Nã bãm me kum angij We’ve already set fire to,them.,Nã bãm me kum angij We’ve already set fire to them.
901,Ne kam ajte karên krax rê.,"Then, we brush them again and remove the small stumps","Ne kam ajte karên krax rê.	Then, we brush them again and remove the small stumps"
902,Kwỳ totokbê ne ba me amĩm djwỳmã karê,"Soon after we burned the field, we weed'in preparation for planting","Kwỳ totokbê ne ba me amĩm djwỳmã karê	 Soon after we burned the field, we weed'in preparation for planting"
903,Ne arỳm kam djwỳ kre,"So far, we’ve already planted everything","Ne arỳm kam djwỳ kre		So far, we’ve already planted everything"
904,amex,summer,amex		summer
905,amex,dry season,amex		dry season
906,djwỳ,farm products,djwỳ		farm products
907,kum angij,set fire to,kum angij	 set fire to
908,angjênh set fire,to,angjênh set fire to
909,me kunĩ,everyone,me kunĩ everyone
910,par prã to weed the undergrowth beneath the,trees,par prã to weed the undergrowth beneath the trees
911,Ije mry jabej kêt,I didn't look for meat,Ije mry jabej kêt	 I didn't look for meat
912,Ije mry janhĩ kêt,I didn’t remove the meat (with a tool),Ije mry janhĩ kêt	 I didn’t remove the meat (with a tool)
913,Ije ikra nhigo kêt,I didn't whisper for my son,Ije ikra nhigo kêt	 I didn't whisper for my son
914,Ije ikra jajtẽk kêt,I didn't paint my son's cheeks,Ije ikra jajtẽk kêt	 I didn't paint my son's cheeks
915,Ije kruw nhimrô kêt,I didn’t fletch the arrow.,Ije kruw nhimrô kêt	 I didn’t fletch the arrow.
916,Ije kikre nhipêx kêt,I don't do the house,Ije kikre nhipêx kêt	 I don't do the house
917,Ije abej kêt,I didn't look for it,Ije abej kêt	 I didn't look for it
918,Ije anhĩ kêt,I didn’t remove it (with a tool),Ije anhĩ kêt	 I didn’t remove it (with a tool)
919,Ije igo kêt,I didn't whisper for him,Ije igo kêt	 I didn't whisper for him
920,Ije igo kêt,I didn't whisper for her,Ije igo kêt	 I didn't whisper for her
921,Ije ajtẽk kêt,I didn't paint it,Ije ajtẽk kêt	 I didn't paint it
922,Ije imrô kêt,I fletched it,Ije imrô kêt	 I fletched it
923,Ije ipêx kêt,I do it,Ije ipêx kêt	 I do it
924,Kute abej kêt,He didn't look for it,Kute abej kêt	 He didn't look for it
925,Kute abej 'ỳr,He's almost looking for it,Kute abej 'ỳr	 He's almost looking for it
926,Kute abej mã,He's going to look for it,Kute abej mã	 He's going to look for it
927,Ije amã imrô kêt,I didn't fletch it for you,Ije amã imrô kêt		I didn't fletch it for you
928,Ije ngônhkam mry janhĩ kêt,I didn’t take the meat out of the bowl,Ije ngônhkam mry janhĩ kêt	I didn’t take the meat out of the bowl
929,Ije amã bàkam mry jabej kêt I didn't look for the meat in the woods for,you,Ije amã bàkam mry jabej kêt I didn't look for the meat in the woods for you
930,Ije pĩ jakàr kêt,I didn't cut the firewood,Ije pĩ jakàr kêt		I didn't cut the firewood
931,Ije pĩ jamỳnh kêt,I didn't look for the firewood,Ije pĩ jamỳnh kêt		I didn't look for the firewood
932,Ije pĩ janhôr kêt,I didn't hang the firewood,Ije pĩ janhôr kêt		I didn't hang the firewood
933,Ije akàr kêt,I didn't cut it,Ije akàr kêt		I didn't cut it
934,Ije amỳnh kêt,I didn't look for it,Ije amỳnh kêt		I didn't look for it
935,Ije anhôr kêt,I didn't hang it,Ije anhôr kêt		I didn't hang it
936,Ba pĩ jakà,I cut the firewood,Ba pĩ jakà	I cut the firewood
937,Ba pĩ jamỳ,I looked for the firewood,Ba pĩ jamỳ	I looked for the firewood
938,Ba pĩ janhô,I hung the firewood,Ba pĩ janhô	I hung the firewood
939,Ba akà,I cut it,Ba akà	 I cut it
940,Ba 'amỳ I looked for,it,Ba 'amỳ I looked for it
941,Ba anhô I hung,it,Ba anhô I hung it
942,Ije ajaêr kêt.,I didn't scary you,Ije ajaêr kêt.	I didn't scary you
943,Ije ajarẽnh kêt.,I didn't talk about you,Ije ajarẽnh kêt.	I didn't talk about you
944,Ije ajanor kêt.,I didn't order you,Ije ajanor kêt.	I didn't order you
945,Ije aêr kêt I didn't scary,him,Ije aêr kêt I didn't scary him
946,Ije aêr kêt I didn't scary,her,Ije aêr kêt I didn't scary her
947,Ije arẽnh kêt,I didn't talk about it,Ije arẽnh kêt	 I didn't talk about it
948,Ije anor kêt,I didn't order this,Ije anor kêt		I didn't order this
949,Ba ajaê.,I scaried you,Ba ajaê.		I scaried you
950,Ba ajarẽ.,I talked about you,Ba ajarẽ.		I talked about you
951,Ba ajano.,I ordered you,Ba ajano.		I ordered you
952,Ba aê.,I scaried he,Ba aê.		I scaried he
953,Ba aê.,I scaried her,Ba aê.		I scaried her
954,Ba arẽ,I talked about this,Ba arẽ		I talked about this
955,Ba ano.,I ordered this,Ba ano.		I ordered this
956,Bàkam ne ba tẽ,I went to the woods,Bàkam ne ba tẽ	I went to the woods
957,Ba ngôja'ã rẽn tẽn ane nhym kukryt mõ.,"I crossed the river and left, and a tapir passed by me","Ba ngôja'ã rẽn tẽn ane nhym kukryt mõ.	I crossed the river and left, and a tapir passed by me"
958,Ba kam amĩm,I said with me,Ba kam amĩm		I said with me
959,"Je, ba kukrytja mãn bĩ, ane yay, I'll kill that",tapir,"Je, ba kukrytja mãn bĩ, ane yay, I'll kill that tapir"
960,Ne kam ate kôt ropreo tẽ,So I follow her with my dog,Ne kam ate kôt ropreo tẽ		So I follow her with my dog
961,"Ropreo tẽ:n ane nhym pidjôja'ỳr bôx I took my dog and left, and the tapir got close of the fruitful",tree,"Ropreo tẽ:n ane nhym pidjôja'ỳr bôx I took my dog and left, and the tapir got close of the fruitful tree"
962,Ne kam ar kwỳ kur o ba,she stayed there eating the fruit,Ne kam ar kwỳ kur o ba	she stayed there eating the fruit
963,Nhym ropreja kubã ba kam kôt wabi,The dog sniffed her (and follow her) and I went up after her,Nhym ropreja kubã ba kam kôt wabi	 The dog sniffed her (and follow her) and I went up after her
964,Ropreja mã kubãno tẽ,the dog left and follow her,Ropreja mã kubãno tẽ		the dog left and follow her
965,Arỳm o dja,he harassed the tapir,Arỳm o dja	he harassed the tapir
966,Ba kam'ỳr iprõt ne,I ran,Ba kam'ỳr iprõt ne		I ran
967,Ba kam kubĩ I killed,her,Ba kam kubĩ I killed her
968,ate,unexpectedly,ate unexpectedly
969,ate at that,moment,ate at that moment
970,pidjô,fruit,pidjô	 fruit
971,ropre,dog,ropre	 dog
972,Ije bãr kêt.,I didn't smell it,Ije bãr kêt.		I didn't smell it
973,Ije par kêt.,I didn't kill,Ije par kêt.		I didn't kill
974,Ije bĩn kêt.,I didn't kill,Ije bĩn kêt.		I didn't kill
975,Ba kubã.,I smelled it,Ba kubã.		I smelled it
976,Ba kupa.,I killed,Ba kupa.		I killed
977,Ba kubĩ.,I killed,Ba kubĩ.		I killed
978,Ije mry bãr kêt.,I didn't hear the animals' sound,Ije mry bãr kêt.		I didn't hear the animals' sound
979,Ije mry bã kêt.,I heared the animals' sound,Ije mry bã kêt.		I heared the animals' sound
